,Airline Name,Overall_Rating,Review_Title,cleaned_review_words
0,ANA All Nippon Airways,7,"""Japanese food was generally good""",Japanese
1,ANA All Nippon Airways,9,"""Great service, lovely crew""",food
2,ANA All Nippon Airways,8,"""a good experience""",generally
3,ANA All Nippon Airways,1,"""a dreadful experience""",good
4,ANA All Nippon Airways,3,"""extremely unhappy""",Great
5,ANA All Nippon Airways,1,"""received a great customer service""",lovely
6,ANA All Nippon Airways,1,"""flight attendants are top-notch""",crew
7,ANA All Nippon Airways,1,"""Pretty faultless""",good
8,ANA All Nippon Airways,5,"""business class product is superior""",dreadful
9,ANA All Nippon Airways,1,"""remains a 5 star Airline""",extremely
10,ANA All Nippon Airways,7,"""staff are polite and attentive""",unhappy
11,ANA All Nippon Airways,1,"""have never been disappointed""",received
12,ANA All Nippon Airways,1,"""I will continue to use them""",great
13,ANA All Nippon Airways,8,"""IFE was good"" ",customer
14,ANA All Nippon Airways,1,"""It's always a pleasure on ANA""",attendants
15,ANA All Nippon Airways,1,"""they do not miss a beat""",top-notch
16,ANA All Nippon Airways,2,"""Horrendous seats on the 787""",Pretty
17,ANA All Nippon Airways,1,"""should be very proud of their team""",faultless
18,ANA All Nippon Airways,1,"""deserves its 5-star rating"" ",business
19,ANA All Nippon Airways,1,"""Overall a good flight""",class
20,ANA All Nippon Airways,8,"""staff Service was great""",product
21,ANA All Nippon Airways,4,"""cannot reach them by phone""",superior
22,ANA All Nippon Airways,9,"""she was outstanding""",remains
23,ANA All Nippon Airways,1,"""Brilliant care and support"" ",5
24,ANA All Nippon Airways,7,"""FAs very pleasant and hardworking""",star
25,ANA All Nippon Airways,2,"""require mask in a 14h flight""",polite
26,ANA All Nippon Airways,1,"""Service was exceptional""",attentive
27,ANA All Nippon Airways,1,"""expect extreme quality of service""",disappointed
28,ANA All Nippon Airways,1,"""food, service, cleanness are all 10/10""",IFE
29,ANA All Nippon Airways,2,"""Upsetting to have to sit next to random people""",good
30,ANA All Nippon Airways,1,"""an extraordinary team member""",pleasure
31,ANA All Nippon Airways,1,"""Crew are helpful and kind""",ANA
32,ANA All Nippon Airways,9,"""experience is so great""",Horrendous
33,ANA All Nippon Airways,1,"""ANA is the very best""",seats
34,ANA All Nippon Airways,1,"""they go above and beyond""",787
35,ANA All Nippon Airways,1,"""the flight service was outstanding""",proud
36,ANA All Nippon Airways,9,"""FAs were fantastic, attentive, polite,""",team
37,ANA All Nippon Airways,5,"""could not upgrade my seat to Premium Economy""",deserves
38,ANA All Nippon Airways,7,"""FA's were fantastic, attentive and proactive""",5-star
39,ANA All Nippon Airways,1,"""continues to deliver outstanding service""",rating
40,ANA All Nippon Airways,9,"""I was very comfortable""",Overall
41,ANA All Nippon Airways,1,"""I strongly recommend ANA""",good
42,ANA All Nippon Airways,9,"""very courteous, polite and helpful""",great
43,ANA All Nippon Airways,9,"""very polite and courteous""",outstanding
44,ANA All Nippon Airways,8,"""This is a good flight with ANA""",Brilliant
45,ANA All Nippon Airways,9,"""I strongly recommend ANA""",FAs
46,ANA All Nippon Airways,9,"""the best airline experience""",pleasant
47,ANA All Nippon Airways,1,"""Best business product out there""",hardworking
48,ANA All Nippon Airways,9,"""pleasant and cheerful""",14h
49,ANA All Nippon Airways,1,"""helpful and professional""",exceptional
50,ANA All Nippon Airways,1,"""cabin crew was outstanding""",extreme
51,ANA All Nippon Airways,1,"""exceeded all the expectations""",quality
52,ANA All Nippon Airways,1,"""best airline I have been on""",food
53,ANA All Nippon Airways,9,"""one of the best if not the best""",cleanness
54,ANA All Nippon Airways,7,"""Premium Economy seat was great""",10-Oct
55,ANA All Nippon Airways,7,"""Staff welcoming and friendly""",Upsetting
56,ANA All Nippon Airways,3,"""told I must pay a cancellation fee""",random
57,ANA All Nippon Airways,6,"""found the leg room was excellent""",people
58,ANA All Nippon Airways,1,"""Customer service is the best""",extraordinary
59,ANA All Nippon Airways,1,"""the cabin was sparkling clean""",team
60,ANA All Nippon Airways,8,"""Service was good""",member
61,ANA All Nippon Airways,1,"""In-flight meals were exceptional""",Crew
62,ANA All Nippon Airways,5,"""service was superb""",helpful
63,ANA All Nippon Airways,9,"""service was exceptional""",kind
64,ANA All Nippon Airways,9,"""I highly recommend ANA to anyone""",great
65,ANA All Nippon Airways,1,"""tried to source compensation""",ANA
66,ANA All Nippon Airways,3,"""my surfboard bag was too big""",best
67,ANA All Nippon Airways,5,"""I was going to skip one flight""",outstanding
68,ANA All Nippon Airways,5,"""efficient and pleasant FAs""",FAs
69,ANA All Nippon Airways,5,"""Good service all in all""",fantastic
70,ANA All Nippon Airways,1,"""it's such a good experience""",attentive
71,ANA All Nippon Airways,1,"""return flight was day of Typhoon Hagibis""",polite
72,ANA All Nippon Airways,4,"""poor ticketing system""",Premium
73,ANA All Nippon Airways,4,"""climb up stairs to the plane""",Economy
74,ANA All Nippon Airways,1,"""ANA is always a pleasure""",FA
75,ANA All Nippon Airways,1,"""serving with their hearts""",fantastic
76,ANA All Nippon Airways,1,"""most disappointing""",attentive
77,ANA All Nippon Airways,3,"""have to wait for check-in""",proactive
78,ANA All Nippon Airways,1,"""service from the FAs was excellent""",continues
79,ANA All Nippon Airways,1,"""the best travel experience""",outstanding
80,ANA All Nippon Airways,1,"""very happy with the service""",comfortable
81,ANA All Nippon Airways,1,"""up to the same high standards of service""",strongly
82,ANA All Nippon Airways,3,"""the flight is cancelled""",ANA
83,ANA All Nippon Airways,4,"""the food was below average""",courteous
84,ANA All Nippon Airways,1,"""very satisfied with ANA""",polite
85,ANA All Nippon Airways,9,"""very satisfied with ANA""",helpful
86,ANA All Nippon Airways,1,"""food was delicious and fresh""",polite
87,ANA All Nippon Airways,9,"""Crew was extremely friendly""",courteous
88,ANA All Nippon Airways,1,"""best ANA flight attendant service""",good
89,ANA All Nippon Airways,1,"""the service cannot be faulted""",ANA
90,ANA All Nippon Airways,1,"""had purchased separate tickets""",strongly
91,ANA All Nippon Airways,1,"""FA's always were personable""",ANA
92,ANA All Nippon Airways,1,"""best airline I've tried""",best
93,ANA All Nippon Airways,9,"""seats offer a lot of privacy""",Best
94,ANA All Nippon Airways,7,"""a real 5 Star Airline""",business
95,ANA All Nippon Airways,1,"""Wonderful service""",product
96,ANA All Nippon Airways,9,"""the wonderful service""",pleasant
97,ANA All Nippon Airways,8,"""Overall, it's good flight""",cheerful
98,ANA All Nippon Airways,2,"""they did keep us together""",helpful
99,ANA All Nippon Airways,1,"""cabin crew was fantastic!""",cabin
100,Bangkok Airways,1,"""I was extremely happy""",crew
101,Bangkok Airways,8,"""check in was seamless""",outstanding
102,Bangkok Airways,1,"""a perfect flight"" ",exceeded
103,Bangkok Airways,8,"""it was a great flight""",expectations
104,Bangkok Airways,3,"""Not the greatest treatment of passengers""",best
105,Bangkok Airways,8,"""the crew was friendly""",best
106,Bangkok Airways,4,"""I have been avoiding them""",best
107,Bangkok Airways,1,"""Brilliant flight""",Premium
108,Bangkok Airways,1,"""true feelgood experience""",Economy
109,Bangkok Airways,1,"""very proficient and competent staff""",great
110,Bangkok Airways,1,"""A very poor experience""",welcoming
111,Bangkok Airways,4,"""check in now by kiosk""",friendly
112,Bangkok Airways,1,"""excellent value for money""",told
113,Bangkok Airways,9,"""a very good product for the price""",cancellation
114,Bangkok Airways,7,"""truly get a feeling of luxury onboard""",fee
115,Bangkok Airways,9,"""Asia's favourite boutique airline""",found
116,Bangkok Airways,1,"""luggage nowhere to be found on arrival in Phnon Penh""",leg
117,Bangkok Airways,1,"""Always on time, crew are always perfect""",room
118,Bangkok Airways,1,"""What was their standard and procedure?""",excellent
119,Bangkok Airways,1,"""want to thank Bangkok Airways for their time""",Customer
120,Bangkok Airways,1,"""the stewardess had acted properly""",best
121,Bangkok Airways,1,"""friendly yet hard-working people""",cabin
122,Bangkok Airways,8,"""Friendly staff, good service""",sparkling
123,Bangkok Airways,9,"""a true dedicated employee""",good
124,Bangkok Airways,9,"""Excellent  experience on Bangkok Airways""",In-flight
125,Bangkok Airways,9,"""very pleased and impressed""",meals
126,Bangkok Airways,1,"""they are changing flight""",exceptional
127,Bangkok Airways,5,"""wait at the airport for 4 hours""",superb
128,Bangkok Airways,1,"""nick name instead of passport name""",exceptional
129,Bangkok Airways,9,"""best in class airline""",highly
130,Bangkok Airways,1,"""one of the best regional airlines""",ANA
131,Bangkok Airways,9,"""always lots of helpful staff""",tried
132,Bangkok Airways,1,"""will highly recommend them""",compensation
133,Bangkok Airways,6,"""only option is Economy Class""",surfboard
134,Bangkok Airways,1,"""rebook my original flights""",bag
