,Airline Name,Overall_Rating,Review_Title,cleaned_review_words
825,Air Astana,9,"""one of the best experiences""",placed
826,Air Astana,5,"""Disappointing service""",locker
827,Air Astana,1,"""Food was exquisite""",lacking
828,Air Astana,4,"""rescheduled for a morning flight""",cabin
829,Air Astana,4,"""I haven't got any repayment""",crew
830,Air Astana,1,"""This is how an airline should be run!""",services
831,Air Astana,1,"""an amazing experience""",IFE
832,Air Astana,7,"""No lounge or priority check in""",working
833,Air Astana,1,"""I haven’t received yet any answer""",great
834,Air Astana,1,"""exceptional customer service""",happy
835,Air Astana,1,"""Thoroughly enjoyed flight""",Horrific
836,Air Astana,1,"""Keep up the good work Air Astana""",response
837,Air Astana,1,"""waiting for a refund for 3 months""",short
838,Air Astana,1,"""Service was excellent""",appalling
839,Air Astana,8,"""return journey equally enjoyable""",directing
840,Air Astana,9,"""trip was quite difficult""",custom
841,Air Astana,8,"""very pleasant crew""",failed
842,Air Astana,7,"""inattentive and rude""",understanding
843,Air Astana,1,"""Awful experience""",booked
844,Air Astana,1,"""customer service is horrendous""",best
845,Air Astana,9,"""Seats were comfortable""",long
846,Air Astana,1,"""one of the best experiences""",haul
847,Air Astana,1,"""billed R1800 for my hand luggage bag""",good
848,Air Astana,1,"""only 1 kg of checked luggage""",comfortable
849,Air Astana,1,"""express my deep gratitude""",Misleading
850,Air Astana,2,"""not at all apologetic for the delay""",poor
851,Air Astana,2,"""it was a total chaos""",ability
852,Air Astana,9,"""personnel are professional and attentive""",better
853,Air Astana,1,"""they were extremely unprofessional""",faulted
854,Air Astana,9,"""would go out of my way to fly Air Astana again""",Budget
855,Air Astana,1,"""friendly and professional""",best
856,Air Astana,6,"""review Cabin crew training""",actuality
857,Air Astana,9,"""a 4 Star experience""",definitely
858,Air Astana,1,"""children's food came as baby food""",worth
859,Air Astana,1,"""Food was perfect""",extra
860,Air Astana,3,"""never come back with blanket""",good
861,Air Astana,9,"""Excellent economy flight""",feeling
862,Air Astana,9,"""best option for the region""",flying
863,Air Astana,1,"""impression is great""",RBA
864,Air Astana,1,"""a very nice experience""",definitely
865,Air Astana,1,"""Consistency of ground service""",crew
866,Air Astana,9,"""nightmare in trying to confirm cancellations """,warm
867,Air Astana,1,"""perfect meal each way""",welcoming
868,Air Astana,1,"""cabin crew are very professional""",comfortable
869,Air Astana,9,"""modern, well appointed planes""",polite
870,Air Astana,9,"""All flights on time""",pro-active
871,Air Astana,1,"""way more than I expected""",consistency
872,Air Astana,1,"""weren't able to give me an answer""",disappointing
873,Air Astana,8,"""aircraft was new and clean""",Delightful
874,Air Astana,8,"""a solid experience""",overall
875,Air Astana,2,"""no personal inflight entertainment""",reasonable
876,Air Astana,9,"""Excellent service""",handling
877,Air Astana,1,"""awful experience""",delayed
878,Air Astana,9,Air Astana customer review,money
879,Air Astana,1,"""Worst flight experience""",thoroughly
880,Air Astana,1,"""a high level of service""",enjoyed
881,Air Astana,1,"""Terrible experience""",respectful
882,Air Astana,1,"""Terrible client relationship""",courteous
883,Air Astana,1,Air Astana customer review,satisfied
884,Air Astana,1,"""service unbelievably attentive""",pleasant
885,Air Astana,9,"""Service attentive""",good
886,Air Astana,8,"""significant improvements""",money
887,Air Astana,1,"""very memorable flight""",comfortable
888,Air Astana,9,"""I was upgraded""",RBA
889,Air Astana,3,"""Not the worst but not the best""",seen
890,Air Astana,1,"""exceptional high standards of service""",RBA
891,Air Astana,8,"""Fantastic service from cabin crew""",wanted
892,Air Astana,1,"""good entertainment""",good
893,Air Astana,1,"""I write to commend staff""",flexible
