,Airline Name,Overall_Rating,Review_Title,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Review_Subjectivity,Review_Polarity,Review_Sentiment_Score
0,AB Aviation,9,"""pretty decent airline""",Economy Class,4.0,5.0,4.0,4.0,3.0,1,0.6261111111111112,0.3022222222222222,1
1,AB Aviation,1,"""Not a good airline""",Economy Class,2.0,2.0,1.0,1.0,2.0,0,0.4183333333333333,-0.07708333333333332,-1
2,AB Aviation,1,"""flight was fortunately short""",Economy Class,2.0,1.0,1.0,1.0,2.0,0,0.5366666666666667,0.07083333333333333,1
3,Adria Airways,1,"""I will never fly again with Adria""",Economy Class,1.0,1.0,2.0,1.0,1.0,0,0.5822916666666667,-0.20625,-1
4,Adria Airways,1,"""it ruined our last days of holidays""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.5229166666666667,0.175,1
5,Adria Airways,1,"""Had very bad experience""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.4383333333333333,-0.009499999999999963,-1
6,Adria Airways,1,"""worse than the budget airlines""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.7999999999999999,-0.44714285714285706,-1
7,Adria Airways,1,"""book another company""",Economy Class,1.0,1.0,1.0,1.0,1.0,0,0.5420833333333334,0.09708333333333331,1
8,Adria Airways,1,"""combined two flights""",Economy Class,1.0,2.0,1.0,1.0,1.0,0,0.6333333333333333,-0.06666666666666665,-1
9,Adria Airways,8,"""the crew was nice""",Economy Class,4.0,4.0,3.0,5.0,5.0,1,0.5775,0.25937499999999997,1
10,Adria Airways,1,"""Very bad experience overall""",Economy Class,2.0,1.0,2.0,1.0,1.0,0,0.5488888888888889,-0.47666666666666657,-1
11,Adria Airways,1,"""bad customer service""",Economy Class,4.0,1.0,1.0,4.0,1.0,0,0.74,-0.21199999999999997,-1
12,Adria Airways,2,"""overall very poor""",Economy Class,3.0,3.0,2.0,3.0,2.0,0,0.39740740740740743,-0.001666666666666668,-1
13,Adria Airways,2,"""Would not fly again""",Economy Class,1.0,2.0,2.0,2.0,1.0,0,0.5691666666666667,-0.0074999999999999945,-1
14,Adria Airways,3,"""very unpleasant experience""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.49796296296296294,0.03711111111111111,1
15,Adria Airways,1,"""Flight was very comfortable""",Economy Class,5.0,5.0,5.0,5.0,5.0,1,0.4000000000000001,0.20666666666666667,1
16,Adria Airways,1,"""delayed for more than 2 hours""",Economy Class,2.0,1.0,1.0,1.0,1.0,0,0.3215909090909091,0.181344696969697,1
17,Adria Airways,3,"""should be ashamed of their operations""",Economy Class,2.0,4.0,1.0,1.0,3.0,0,0.4432993197278912,0.11666666666666665,1
18,Adria Airways,9,"""Two nice short flights""",Economy Class,5.0,5.0,3.0,5.0,3.0,1,0.428030303030303,0.15075757575757576,1
19,Adria Airways,2,"""extremely bad service""",Economy Class,3.0,3.0,2.0,1.0,1.0,0,0.4630952380952381,-0.0035714285714285427,-1
20,Adria Airways,2,"""never fly this airline again""",Economy Class,3.0,4.0,1.0,1.0,2.0,0,0.5101322751322751,0.01567099567099567,1
21,Adria Airways,9,"""can't remember a flight delay""",Economy Class,5.0,5.0,4.0,5.0,4.0,1,0.4833333333333333,0.24333333333333332,1
22,Adria Airways,8,"""seat was quite comfortable """,Economy Class,5.0,5.0,4.0,5.0,4.0,1,0.7749999999999999,0.5296875,1
23,Adria Airways,1,"""nice and comfortable flights""",Economy Class,5.0,5.0,2.0,5.0,4.0,1,0.4944545454545454,0.2736363636363636,1
24,Adria Airways,8,"""what a great surprise""",Economy Class,4.0,4.0,3.0,3.0,4.0,1,0.49282828282828284,0.43006216006216014,1
25,Adria Airways,5,"""value for money is not there nor the experience""",Economy Class,3.0,5.0,1.0,4.0,1.0,0,0.5316666666666666,0.13941666666666666,1
26,Adria Airways,2,"""fleet is tired and outdated""",Economy Class,1.0,1.0,2.0,3.0,1.0,0,0.4708273208273209,0.02468734968734968,1
27,Adria Airways,3,"""underwhelming and unimpressive""",Economy Class,3.0,1.0,1.0,2.0,2.0,0,0.44208683473389354,0.16750700280112044,1
28,Adria Airways,3,"""very different experiences""",Economy Class,2.0,2.0,2.0,4.0,4.0,0,0.6477333333333333,-0.019799999999999988,-1
29,Adria Airways,6,"""staff were all pleasant enough""",Economy Class,2.0,4.0,3.0,3.0,4.0,1,0.4502631578947368,0.04921052631578947,1
